user_id,engagement_score,experience_score,satisfaction_score,satisfaction_cluster
33670976542.0,0.0179495,0.0631408,0.0405452,0
33650182401.0,0.0161205,0.147219,0.0816699,0
33730417718.5,0.016005,0.0631408,0.0395729,0
33650543641.0,0.0162745,0.215448,0.115861,0
33666722300.0,0.0176992,0.0631408,0.04042,0
33662788245.0,0.0163323,0.182837,0.0995845,0
33683457133.0,0.016621,0.635322,0.325972,0
33648713284.0,0.0160435,0.0631408,0.0395921,0
33730417718.5,0.0164863,0.0924815,0.0544839,0
33664720562.0,0.0158317,0.0631408,0.0394862,0
33668882532.0,0.0154851,0.148467,0.0819763,0
33730417718.5,0.016005,0.0631408,0.0395729,0
33663063484.0,0.0161205,0.150128,0.0831244,0
33730417718.5,0.0161975,0.213371,0.114784,0
33695793310.0,0.0158124,0.158744,0.0872783,0
33658933782.0,0.677709,0.701271,0.68949,1
33665397921.0,0.016313,0.182837,0.0995749,0
33688404819.0,0.0161782,0.111129,0.0636535,0
33664823451.0,0.0160627,0.150202,0.0831322,0
33625578106.0,0.0157354,0.704324,0.36003,0
33659630964.0,0.0165248,0.029159,0.0228419,0
33698854920.0,0.0154659,0.19471,0.105088,0
33667271399.0,0.0167751,0.106177,0.0614761,0
33631765940.0,0.0159279,0.147408,0.0816681,0
33662229479.0,0.0161975,0.383536,0.199867,0
33611987270.0,0.015023,0.0631408,0.0390819,0
33660135300.0,0.0157739,0.196713,0.106243,0
33621898182.0,0.0170639,0.0544757,0.0357698,0
33689191222.0,0.166186,0.169942,0.168064,0
33618025045.0,0.0161012,0.0904789,0.05329,0
33661935148.0,0.0162552,0.150128,0.0831918,0
33667444377.0,0.0162937,0.0501624,0.0332281,0
33623518940.0,0.0160627,0.176253,0.0961577,0
33650977655.0,0.501371,0.441135,0.471253,1
33669321201.0,0.0157162,0.0631408,0.0394285,0
33730417718.5,0.0163323,0.291933,0.154133,0
33662761310.0,0.0160627,0.618672,0.317367,0
33625573044.0,0.0166981,0.294402,0.15555,0
33730417718.5,0.01639,0.243967,0.130178,0
33666547232.0,0.127141,0.635322,0.381232,0
33667477744.0,0.0157739,0.188487,0.10213,0
33668799144.0,0.00364454,0.725937,0.364791,0
33661508740.0,0.0157932,0.0798177,0.0478054,0
33671429741.0,0.0162167,0.103515,0.0598659,0
33612475594.0,0.0151193,0.0924815,0.0538004,0
33730417718.5,0.016236,0.187025,0.10163,0
33658340311.0,0.0160435,0.048595,0.0323192,0
33730417718.5,0.016236,0.0757128,0.0459744,0
33666547232.0,0.324118,0.618672,0.471395,1
33668896930.0,0.0156006,0.107184,0.0613925,0
33650784540.0,0.0168906,0.26627,0.14158,0
33662991095.0,0.01639,0.141608,0.0789989,0
33664622012.0,0.016313,0.0631408,0.0397269,0
33669176513.0,0.016005,0.12878,0.0723925,0
33730417718.5,0.0164285,0.147408,0.0819184,0
33648669470.0,0.0161397,0.288024,0.152082,0
33652877567.0,0.0158317,0.0569732,0.0364024,0
33659350323.0,0.0157932,0.0437051,0.0297491,0
33619660787.0,0.0176992,0.0631408,0.04042,0
33699931744.0,0.958071,0.340023,0.649047,1
33663807206.0,0.0161012,0.341102,0.178601,0
33658478895.0,0.013194,0.150154,0.0816742,0
33730417718.5,0.0160242,0.0720853,0.0440547,0
33730417718.5,0.0160627,0.239574,0.127818,0
33663094850.0,0.0162937,0.14322,0.0797567,0
33633116841.0,0.0156969,0.0266887,0.0211928,0
33668436711.0,0.016159,0.237688,0.126923,0
33658765071.0,0.0157547,0.154423,0.085089,0
33699131975.0,0.014869,0.140615,0.0777418,0
33646831567.0,0.016159,0.0323887,0.0242738,0
33631737095.0,0.0162552,0.0594594,0.0378573,0
33730417718.5,0.0158317,0.152448,0.0841399,0
33620316321.0,0.0158702,0.0631408,0.0395055,0
33730417718.5,0.0149268,0.635322,0.325124,0
33663912481.0,0.0159087,0.034112,0.0250103,0
33730417718.5,0.0162937,0.0631408,0.0397173,0
33614147723.0,0.0154851,0.0631408,0.039313,0
33665129539.0,0.0160242,0.124796,0.0704102,0
33730417718.5,0.595431,0.205074,0.400252,1
33624673482.0,0.0158702,0.19321,0.10454,0
33610029200.0,0.0164285,0.0569732,0.0367008,0
33650161359.0,0.0162745,0.157689,0.0869816,0
33663395710.0,0.373252,1.01852,0.695886,1
33659220747.0,0.0167751,0.111129,0.0639519,0
33662742104.0,0.0161397,0.029159,0.0226494,0
33663462805.0,0.0161782,0.157339,0.0867585,0
33661020729.0,0.850206,0.518258,0.684232,1
33668969484.0,0.016236,0.236153,0.126195,0
33660692736.0,0.195605,0.889797,0.542701,1
33730417718.5,0.016005,0.0631408,0.0395729,0
33604163418.5,0.0167751,0.0631408,0.0399579,0
33664111361.0,0.275504,0.620994,0.448249,1
33685601675.0,0.0165825,0.0657326,0.0411576,0
33659074100.0,0.982012,0.826479,0.904245,1
33730417718.5,0.0161012,0.0631408,0.039621,0
33646818008.0,0.016544,0.257309,0.136926,0
33632766877.0,0.0172371,0.438426,0.227831,0
33624486010.0,0.016159,0.0631408,0.0396499,0
33631248943.0,0.0171409,0.0998351,0.058488,0
33730417718.5,0.0161205,0.103515,0.0598178,0
33664104941.0,0.0157932,0.195074,0.105433,0
33658949881.0,0.0171409,0.0879493,0.0525451,0
33659111427.0,0.0162552,0.0166101,0.0164327,0
33658949881.0,0.0170639,0.169942,0.0935031,0
33665178801.0,0.977824,0.636911,0.807368,1
33730417718.5,0.0165633,0.169942,0.0932528,0
33665137305.0,0.016005,0.188724,0.102364,0
